Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
False,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"SpaceX
",S,F9 v1.0B0003.1,Failure,4 June 2010,18:45
True,CCAFS,Dragon,0,LEO,"
NASA (COTS)
NRO

",S,F9 v1.0B0004.1,Failure,8 December 2010,15:43
True,CCAFS,Dragon,525 kg,LEO,"NASA (COTS)
",S,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
True,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"NASA (CRS)
",S,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
True,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"NASA (CRS)
",S,F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
True,VAFB,CASSIOPE,500 kg,Polar orbit,"MDA
",S,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
True,CCAFS,SES-8,"3,170 kg",GTO,"SES
",S,F9 v1.1,No attempt,3 December 2013,22:41
True,CCAFS,Thaicom 6,"3,325 kg",GTO,"Thaicom
",S,F9 v1.1,No attempt,6 January 2014,22:06
False,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"NASA (CRS)
",S,F9 v1.1,Controlled,18 April 2014,19:25
True,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"Orbcomm
",S,F9 v1.1,Controlled,14 July 2014,15:15
True,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"AsiaSat
",S,F9 v1.1,No attempt,5 August 2014,08:00
True,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"AsiaSat
",S,F9 v1.1,"No attempt
",7 September 2014,05:00
True,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"NASA (CRS)
",S,F9 v1.1,Uncontrolled,21 September 2014,05:52
True,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"NASA (CRS)
",S,F9 v1.1,Failure ,10 January 2015,09:47
True,Cape Canaveral,DSCOVR,570 kg,HEO,"
USAF
NASA
NOAA

",S,F9 v1.1,Controlled,11 February 2015,23:03
False,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"
ABS
Eutelsat

",S,F9 v1.1,No attempt,2 March 2015,03:50
True,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"NASA (CRS)
",S,F9 v1.1,Failure,14 April 2015,20:10
True,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"Turkmenistan NationalSpace Agency[88]
",S,F9 v1.1,No attempt,27 April 2015,23:03
True,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"NASA (CRS)
",F,F9 v1.1,Precluded,28 June 2015,14:21
True,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"Orbcomm
",S,F9 FT,Success,22 December 2015,01:29
True,VAFB,Jason-3,553 kg,LEO,"
NASA (LSP)
NOAA
CNES

",S,F9 v1.1,Failure,17 January 2016,18:42
True,Cape Canaveral,SES-9,"5,271 kg",GTO,"SES
",S,F9 FT,Failure,4 March 2016,23:35
True,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"NASA (CRS)
",S,F9 FT,Success,8 April 2016,20:43
False,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"SKY Perfect JSAT Group
",S,F9 FT,Success,6 May 2016,05:21
True,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"Thaicom
",S,F9 FT,Success,27 May 2016,21:39
True,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"
ABS
Eutelsat

",S,F9 FT,Failure,15 June 2016,14:29
True,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"NASA (CRS)
",S,F9 FT,Success,18 July 2016,04:45
True,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"SKY Perfect JSAT Group
",S,F9 FT,Success,14 August 2016,05:26
True,VAFB,Iridium NEXT,"9,600 kg",Polar,"Iridium Communications
",S,F9 FT,Success,14 January 2017,17:54
True,KSC,SpaceX CRS-10,"2,490 kg",LEO,"NASA (CRS)
",S,F9 FT,Success,19 February 2017,14:39
True,KSC,EchoStar 23,"5,600 kg",GTO,"EchoStar
",S,F9 FT,No attempt,16 March 2017,06:00
True,KSC,SES-10,"5,300 kg",GTO,"SES
",S,F9 FT♺,Success,30 March 2017,22:27
False,KSC,NROL-76,C,LEO,"NRO
",S,F9 FT,Success,1 May 2017,11:15
True,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"Inmarsat
",S,F9 FT,No attempt,15 May 2017,23:21
True,KSC,SpaceX CRS-11,"2,708 kg",LEO,"NASA (CRS)
",S,F9 FT,Success,3 June 2017,21:07
True,KSC,BulgariaSat-1,"3,669 kg",GTO,"Bulsatcom
",S,F9 FTB1029.2,Success,23 June 2017,19:10
True,VAFB,Iridium NEXT,"9,600 kg",LEO,"Iridium Communications
",S,F9 FT,Success,25 June 2017,20:25
True,KSC,Intelsat 35e,"6,761 kg",GTO,"Intelsat
",S,F9 FT,No attempt,5 July 2017,23:38
True,KSC,SpaceX CRS-12,"3,310 kg",LEO,"NASA (CRS)
",S,F9 B4,Success,14 August 2017,16:31
True,VAFB,Formosat-5,475 kg,SSO,"NSPO
",S,F9 FT,Success,24 August 2017,18:51
